Area,Centroid_1,Centroid_2,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,PerimeterOld,neg_red_mean,neg_blue_mean,y
80,814.9,312.1125,810.5,303.5,8,18,16.33286277,7.492780557,0.88856286,-79.77916834,104,87,-4,10.09253009,0.769230769,0.555555556,44.452,46.97056275,98.8875,138.4125,0
86,822.2906977,251.6395349,814.5,243.5,13,15,15.0542879,12.05990248,0.59853831,41.98079379,136,95,-3,10.46415791,0.632352941,0.441025641,54.071,57.35533906,82.03488372,118.627907,0
69,821.4202899,546.4202899,815.5,540.5,11,13,14.13751242,11.40746784,0.590696851,-47.47972787,111,93,0,9.373021316,0.621621622,0.482517483,48.521,52.04163056,105.1014493,143.9855072,0
60,825.5666667,942.5666667,817.5,936.5,13,11,11.82171342,10.34592688,0.483828089,43.5983393,95,65,-1,8.740387445,0.631578947,0.41958042,56.23,59.01219331,84.83333333,125.7333333,0
114,829.7192982,281.6403509,818.5,269.5,21,23,27.99199105,12.24009542,0.899329626,-48.21223882,237,127,-9,12.04779267,0.481012658,0.236024845,94.984,99.98275606,80.38596491,120.7894737,0
155,829.9419355,339.6516129,820.5,330.5,18,20,24.05662043,9.42823922,0.919999858,-41.49395799,196,157,-1,14.04820734,0.790816327,0.430555556,64.433,68.52691193,86.78064516,124.0516129,0
99,827.9292929,663.3232323,820.5,655.5,17,18,22.31804665,7.528505042,0.941387131,-51.24997029,153,103,-2,11.22723096,0.647058824,0.323529412,63.549,67.254834,96.75757576,140.0505051,0
64,827.140625,923.578125,820.5,917.5,12,14,14.94966605,8.367203186,0.828700949,57.9349279,101,68,-3,9.027033337,0.633663366,0.380952381,45.164,47.69848481,100.6875,141.484375,0
64,827.890625,392.515625,822.5,387.5,11,10,11.24832099,8.555502859,0.649217678,-34.52794887,80,69,-2,9.027033337,0.8,0.581818182,33.544,35.79898987,94.875,132.5,0
81,830.5061728,512.7407407,823.5,506.5,15,14,18.49802972,9.501458055,0.858001589,-42.73564263,132,82,0,10.1554125,0.613636364,0.385714286,56.585,59.9411255,93.37037037,128.8888889,0
318,841.6981132,109.1194969,828.5,95.5,28,32,30.83907571,17.03180487,0.833658681,-48.90348884,517,320,-1,20.12188299,0.615087041,0.354910714,125.31,133.0538239,95.09748428,130.1540881,0
150,838.8066667,461.9266667,830.5,454.5,19,14,21.73858394,10.53390777,0.874751414,-23.16063062,185,150,1,13.81976598,0.810810811,0.563909774,61.464,65.9411255,90.72,131.5666667,0
95,837.2526316,392.3578947,832.5,382.5,10,18,18.80344783,7.15873504,0.924692858,-66.40591437,114,100,-4,10.99807968,0.833333333,0.527777778,43.369,46.04163056,89.13684211,130.0736842,0
87,839.6781609,534.7931034,833.5,527.5,12,13,14.24788169,11.21526277,0.616757781,-66.96317836,116,107,-5,10.52482021,0.75,0.557692308,37.737,39.79898987,102.862069,147.9425287,0
88,845.5,660.4204545,838.5,652.5,14,16,19.02339608,8.132058409,0.904026371,-67.63005019,136,89,0,10.58513486,0.647058824,0.392857143,54.642,57.59797975,92.17045455,132.7613636,0
80,846.7875,380.825,839.5,369.5,14,19,22.25841602,6.05120508,0.962336405,-54.46403926,105,93,-12,10.09253009,0.761904762,0.30075188,46.479,49.11269837,77.325,119.9,0
258,855.0930233,516,840.5,504.5,29,26,32.03782739,22.39006771,0.71525508,-33.95677979,481,271,-10,18.12445317,0.536382536,0.342175066,134.424,142.9533188,87.46511628,129.6085271,0
117,853.7948718,408.8717949,845.5,402.5,18,14,23.10090116,10.09578922,0.899446879,22.93733085,189,119,-1,12.20528684,0.619047619,0.464285714,57.9,61.35533906,82.16239316,111.2649573,0
102,855.9509804,538.0588235,850.5,529.5,11,15,15.75672793,10.43863249,0.749073126,-64.16923731,126,113,-2,11.39607097,0.80952381,0.618181818,41.202,43.79898987,95.44117647,136.872549,0
98,858.2040816,557.8061224,853.5,548.5,10,18,17.31627188,9.257907708,0.845082254,-87.20522315,129,110,-1,11.17038385,0.759689922,0.544444444,43.261,46.38477631,98.17346939,139.4795918,0
75,863.3466667,960.1466667,853.5,955.5,17,10,16.24878045,8.507454275,0.851979625,-20.71232043,100,81,-5,9.772050238,0.75,0.441176471,46.851,49.69848481,82.58666667,118.2,0
111,861.1261261,10.20720721,854.5,4.5,14,12,14.85307138,10.26117125,0.723002821,-28.05958994,129,114,-2,11.88821221,0.860465116,0.660714286,43.477,45.69848481,75.71171171,118.8918919,0
